"GEOID" "total" "p0_17" "p30_99" "p0_1" "p0_99" "p8_12" "p0_17.1" "p65_99" "p6_18" "p6_14" "p18_64" "p5_17"
"80640" 11692 3834 6085 230.6 11692 1084.2 3834 532 2588.8 1953.8 7326 2681
"80642" 5050 1072 3289 66.6 5050 263.8 1072 392 737.4 469.4 3586 739
"80643" 3331 799 2138 20.6 3331 256 799 480 659.6 461.6 2052 696
"80644" 3104 797 1906 32.6 3104 190.4 797 352 626.2 341.2 1955 634
"80645" 4567 1146 2763 40 4567 420.2 1146 588 937.2 750.2 2833 946
"80648" 1032 279 616 5.4 1032 76.2 279 80 254.9 135.4 673 252
"80649" 193 22 167 1.8 193 4.8 22 46 13 8 125 13
"80650" 1532 304 1017 16.6 1532 72.6 304 237 225.6 128.6 991 221
"80651" 4110 981 2519 49.2 4110 284.2 981 605 724.1 510.6 2524 735
"80652" 237 11 197 0 237 6.6 11 90 18.5 11 136 11
"80653" 683 113 489 3.2 683 39.8 113 148 101 71 422 97
"80654" 2518 622 1537 33.4 2518 149.4 622 401 460.6 266.6 1495 455
"80701" 16370 4689 9184 207.6 16370 1411.8 4689 2318 3543 2569 9363 3651
"80705" 906 234 505 12.4 906 66.4 234 124 175 116 548 172
"80720" 2833 568 1844 27.8 2833 143.4 568 543 414.4 263.4 1722 429
"80721" 147 17 112 0 147 10.2 17 32 17 17 98 17
"80722" 280 78 159 8.6 280 12.2 78 37 33.4 21.4 165 35
"80723" 7099 1943 4051 154.8 7099 420.4 1943 1052 1167.4 764.4 4104 1169
"80726" 438 96 300 0.8 438 32 96 67 100.5 54 275 92
"80727" 314 105 173 4.4 314 26 105 23 78.1 47.6 186 83
"80728" 1033 256 625 12.2 1033 82.6 256 103 201.1 146.6 674 195
"80729" 527 85 396 4.4 527 29.2 85 172 60.4 52.4 270 63
"80731" 1342 279 898 11.6 1342 83.2 279 319 233 150 744 221
"80733" 464 98 316 7 464 24.4 98 73 64.3 42.8 293 63
"80734" 2972 833 1788 48.6 2972 225.4 833 511 608.1 402.6 1628 590
"80735" 431 155 228 7.8 431 53.6 155 59 106.3 98.8 217 116
"80736" 576 110 385 3 576 36.4 110 100 92.2 63.2 366 95
"80737" 1568 355 1060 19.6 1568 105 355 419 259.9 185.4 794 257
"80740" 154 36 91 2.6 154 9.6 36 31 26.1 17.6 87 23
"80741" 774 171 458 5.8 774 57.8 171 111 136.4 101.4 492 142
"80742" 277 88 157 5.8 277 19.8 88 55 52.8 37.8 134 59
"80743" 976 222 652 11.4 976 69.6 222 220 162.7 123.2 534 165
"80744" 484 80 300 3 484 19 80 80 69.6 32.6 324 65
"80745" 178 56 100 0 178 25.8 56 20 48.2 48.2 102 56
"80746" 46 0 42 0 46 0 0 37 0 0 9 0
"80747" 502 89 309 3.4 502 27.8 89 65 73 49 348 72
"80749" 305 39 219 1.6 305 14.8 39 61 40.7 25.2 205 31
"80750" 278 44 200 5.6 278 8 44 71 14.4 14.4 163 16
"80751" 18826 3500 11216 192.8 18826 938.4 3500 2960 2874.9 1696.4 12366 2536
"80754" 193 62 127 2.2 193 17 62 18 47 31 113 51
"80755" 142 7 70 0.4 142 1.2 7 9 12.9 2.4 126 5
"80757" 322 107 177 4.6 322 34 107 27 79.9 62.4 188 84
"80758" 3899 1145 2167 66.2 3899 308.4 1145 581 813.3 562.8 2173 814
"80759" 4670 1066 3099 76 4670 243.8 1066 942 638.1 448.6 2662 686
"80801" 100 15 80 0 100 6 15 34 17.5 10 51 15
"80802" 299 120 138 6.4 299 44.4 120 19 80.8 78.8 160 88
"80804" 330 79 220 4.8 330 14.6 79 73 53.3 25.8 178 55
"80805" 553 163 319 7.2 553 48.4 163 69 120.8 88.8 321 127
"80807" 5313 1144 3348 70.2 5313 319.8 1144 897 753.4 583.4 3272 793
"80808" 6053 1525 3709 69.6 6053 476 1525 671 1112.6 857.6 3857 1177
"80809" 1651 294 1175 17.6 1651 77.4 294 330 205 137 1027 206
"80810" 1293 299 776 18.6 1293 74.4 299 168 201.6 137.6 826 206
"80812" 169 33 135 1 169 8.4 33 38 26.1 15.6 98 28
"80813" 2087 542 1194 48.4 2087 106.4 542 257 286.9 194.4 1288 300
"80814" 4043 622 3081 9 4043 221.4 622 493 622.5 381 2928 577
"80815" 850 205 552 12 850 50.8 205 193 151.2 93.2 452 145
"80816" 5190 877 3831 45.4 5190 215.8 877 1189 645.5 387 3124 650
"80817" 28157 9309 13815 531.6 28157 2549.2 9309 1649 6451.2 4643.2 17199 6651
"80818" 289 63 178 2.2 289 22.2 63 66 49.4 39.4 160 52
"80819" 744 163 507 6.2 744 39.2 163 115 135.8 70.8 466 132
"80820" 609 70 533 0 609 20.8 70 246 62.6 41.6 293 70
"80821" 990 180 704 8.8 990 61.4 180 313 133 109 497 136
"80822" 324 119 166 4.8 324 33.4 119 30 90.5 61 175 95
"80823" 175 35 109 3 175 4.2 35 56 21.4 7.4 84 20
"80824" 258 77 151 3 258 24.2 77 52 60.4 41.4 129 62
"80825" 487 163 266 7.6 487 46 163 47 121.1 83.6 277 125
"80827" 606 0 577 0 606 0 0 206 14.5 0 400 0
"80828" 3645 574 2424 27.6 3645 149 574 395 420.8 275.8 2676 436
"80829" 5717 794 4220 33.2 5717 259.2 794 822 611.2 469.2 4101 628
"80830" 159 0 156 0 159 0 0 68 0 0 91 0
"80831" 24009 7420 13815 350 24009 2153.4 7420 1764 5620.6 3844.6 14825 5670
"80832" 537 140 374 12 537 27 140 96 78.4 47.4 301 80
"80833" 527 73 408 0.4 527 31.2 73 137 68.6 53.6 317 71
"80834" 257 34 184 1 257 7 34 82 38.7 12.2 141 29
"80835" 843 204 562 8 843 47.4 204 134 156.6 86.6 505 164
"80836" 1121 312 668 17.4 1121 68 312 145 245 120 664 225
"80840" 6046 752 627 51.6 6046 201 752 15 1207.7 356.2 5279 494
"80860" 549 72 429 1.4 549 26.6 72 79 69.2 46.2 398 65
"80861" 209 34 132 2.2 209 6 34 61 21.8 10.8 114 23
"80862" 38 5 29 0.4 38 0 5 11 3 0 22 3
"80863" 11924 2541 8221 101.4 11924 702 2541 1695 1971.5 1274 7688 2034
"80864" 1142 244 806 8 1142 74.4 244 149 192 136 749 204
"80902" 12468 4645 2637 408.8 12468 1095.4 4645 0 2601.3 2017.8 7823 2601
"80903" 15166 1680 8248 88 15166 396.6 1680 1608 1892.7 716.2 11878 1240
"80904" 19884 2688 13416 161 19884 787.4 2688 4385 1939.3 1399.8 12811 1883
"80905" 17341 3964 9840 288.8 17341 918.2 3964 2118 2461.8 1661.8 11259 2520
"80906" 36846 8355 21949 482 36846 2356.8 8355 5688 5891.3 4240.8 22803 5945
"80907" 27265 4930 17369 242.6 27265 1441.4 4930 4352 3697.7 2584.2 17983 3717
"80908" 13924 3592 9121 115.2 13924 1057.8 3592 1763 2980.7 1904.2 8569 3016
"80909" 37199 8903 21828 564.8 37199 2368.2 8903 5572 5981 4269 22724 6079
"80910" 29674 7887 15172 480 29674 2141 7887 3522 5457.9 3859.4 18265 5487
"80911" 31912 8812 17560 464.4 31912 2502.6 8812 3858 6314.6 4472.6 19242 6490
"80913" 3269 96 280 2.6 3269 38 96 0 340.2 71.2 3173 83
"80914" 311 0 2 0 311 0 0 0 29 0 311 0
"80915" 20237 4969 11182 306 20237 1326 4969 2348 3429.2 2409.2 12920 3439
"80916" 38632 12088 16564 965.4 38632 2692 12088 2092 7188 4982 24452 7261
"80917" 30862 6988 17765 475.2 30862 1666.8 6988 3947 4745 2986 19927 4612
"80918" 48407 10907 26901 542.4 48407 3179 10907 5746 8605.7 5722.2 31754 8195
"80919" 27701 5982 18068 295.2 27701 1676.6 5982 3653 4476.4 3015.4 18066 4506
"80920" 38320 10787 21869 436.8 38320 3131.2 10787 3182 8590.2 5605.2 24351 8603
"80921" 19673 5837 11863 262 19673 1791.2 5837 2216 4412.1 3217.6 11620 4527
"80922" 26905 8583 14518 379.4 26905 2614.6 8583 2085 6339.6 4726.6 16237 6686
"80923" 28292 8689 14965 547.6 28292 2423 8689 1200 5806.6 4328.6 18403 5951
"80924" 5975 2215 2967 73 5975 749.8 2215 115 1740.9 1353.4 3645 1850
"80925" 7032 2336 3539 134.8 7032 710.8 2336 313 1628 1252 4383 1662
"80926" 1485 276 931 9.6 1485 106.6 276 220 208 191 989 228
"80927" 1153 325 576 14.4 1153 93.2 325 35 242 168 793 253
"80928" 1088 240 676 17.2 1088 47.8 240 113 145.4 91.4 735 154
"80929" 282 18 229 0 282 4.2 18 42 18 7 222 18
"80930" 1003 306 488 33 1003 45.6 306 168 131 86 529 141
"80938" 31 0 31 0 31 0 0 0 0 0 31 0
"80939" 0 0 0 0 0 0 0 0 0 0 0 0
"80951" 3942 1440 1776 75.4 3942 430 1440 77 972.6 783.6 2425 1063
"81001" 29614 7005 16877 419 29614 1870.2 7005 4457 5154.7 3364.2 18152 4910
"81003" 15709 3419 9525 204.6 15709 934.8 3419 2250 2455.4 1680.4 10040 2396
"81004" 25705 5954 15287 369.2 25705 1663.4 5954 3966 4139 2979 15785 4108
"81005" 30692 7217 19570 350.8 30692 2089.2 7217 5975 5351.4 3768.4 17500 5463
"81006" 11762 2622 7409 89.4 11762 864.6 2622 2033 2169.8 1549.8 7107 2175
"81007" 30674 8313 17960 374.2 30674 2528 8313 4116 6466.6 4467.6 18245 6442
"81008" 10379 2410 6302 163.2 10379 577.6 2410 1543 1574.4 1050.4 6426 1594
"81019" 1541 376 1020 13 1541 135 376 426 311 239 739 311
