"GEOID" "mort_ac" "mort_ac_se" "mort_na" "mort_na_se" "hosp_cp" "hosp_cp_se" "hosp_cvd" "hosp_cvd_se" "hosp_res" "hosp_res_se" "ed_ast" "ac_bronchitis" "minor_lrs" "minor_wld" "minor_mrad" "minor_asts" "minor_sld" "minor_astc" "minor_ast" "minor_astw" "hosp_mi" "ed_ast_se" "hosp_mi_se" "minor_astc_se" "minor_asts_se" "minor_astw_se" "minor_ast_se" "minor_mrad_se" "minor_sld_se" "minor_wld_se" "minor_lrs_se" "ac_bronchitis_se"
80109 0.00001330980439074 0.00312029054334209 0.00001330980439074 0.00312029054334209 0.000332320489395423 0.0273736080660663 0.000204722342798882 0.0168632069131174 0.000127598146596542 0.0105104011529489 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80110 0.0000391482435914824 0.00983587447199354 0.0000391482435914824 0.00983587447199354 0.000635954760802601 0.0696217991478467 0.000390442390888154 0.0427440808571252 0.000245512369914448 0.0268777182907216 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80111 0.0000205316329970602 0.00631076405115625 0.0000205316329970602 0.00631076405115625 0.000341867650031143 0.0440531985642181 0.000212182334913151 0.0273418983366721 0.000129685315117991 0.0167113002275461 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80112 0.0000158026583183936 0.00478118561329714 0.0000158026583183936 0.00478118561329714 0.000256436398634623 0.0332330096112007 0.000162801225087375 0.0210983101730142 0.0000936351735472478 0.0121346994381865 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80113 0.0000399276661118935 0.0104485446033341 0.0000399276661118935 0.0104485446033341 0.000479035260774126 0.0582574631437928 0.000300091694684487 0.0364953945448354 0.000178943566089639 0.0217620685989574 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80116 0.0000235337955109285 0.00278157118373201 0.0000235337955109285 0.00278157118373201 0.000233136577941122 0.0141619677327841 0.000145524742918662 0.0088399543809735 0.0000876118350224598 0.00532201335181057 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80117 0.0000261816821730796 0.00245466360864638 0.0000261816821730796 0.00245466360864638 0.000158517177894967 0.00742666089401469 0.0000986051736511998 0.00461973394194615 0.000059912004243767 0.00280692695206854 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80118 0.000018155241611242 0.0025133701026615 0.000018155241611242 0.0025133701026615 0.000241146392273215 0.0158864051338785 0.000149611766933906 0.00985622517468378 0.0000915346253393094 0.00603017995919472 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80120 0.0000367229094674756 0.0114584893282266 0.0000367229094674756 0.0114584893282266 0.000437396610576082 0.0724152327856496 0.000277271068952937 0.0459049030501353 0.000160125541623145 0.0265103297355143 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80121 0.0000385321864169664 0.00963843960072354 0.0000385321864169664 0.00963843960072354 0.000374747361329441 0.0523574504321243 0.000234392544352122 0.032747918435074 0.000140354816977319 0.0196095319970503 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
